R83=5,60,286,31,-7,0
R84=5,85,288,8,-7,0
R85=5,110,288,46,-7,0
R86=5,130,288,38,-7,0
R87=5,150,287,53,-8,0
R88=5,165,286,58,-8,0
R89=5,175,286,14,-8,0
R90=5,185,285,25,-8,0
R91=5,193,284,47,-8,0
R92=5,203,284,5,-8,0
R93=5,213,283,28,-8,0
R94=5,228,282,51,-7,0
R95=5,248,282,34,-7,0
R96=5,268,282,51,-7,0
R97=5,293,283,56,-7,0
R98=5,318,285,44,-6,0
R99=5,348,288,48,-6,0
R100=5,378,292,14,-6,0
R101=6,0,292,14,-6,0
R102=6,30,295,35,-5,0
R103=6,60,298,7,-5,0
R104=6,85,299,34,-5,0
R105=6,110,299,59,-5,0
R106=6,130,300,0,-5,0
R107=6,150,299,13,-5,0
R108=6,165,298,16,-5,0
R109=6,175,297,30,-5,0
R110=6,185,296,40,-5,0
R111=6,193,296,2,-6,0
R112=6,203,295,20,-6,0
R113=6,213,294,45,-6,0
R114=6,228,294,9,-6,0
R115=6,248,293,53,-6,0
R116=6,268,294,12,-5,0
R117=6,293,295,22,-4,0
R118=6,318,298,17,-4,0
R119=6,348,300,20,-4,0
R120=6,378,303,50,-4,0
R121=7,0,303,50,-4,0
R122=7,30,307,18,-4,0
R123=7,60,309,56,-3,0
R124=7,85,311,25,-3,0
R125=7,110,311,57,-3,0
R126=7,130,311,48,-3,0
R127=7,150,311,1,-3,0
R128=7,165,309,58,-3,0
R129=7,175,309,16,-3,0
R130=7,185,308,22,-3,0
R131=7,193,307,47,-3,0
R132=7,203,306,58,-3,0
R133=7,213,306,29,-3,0
R134=7,228,305,52,-3,0
R135=7,248,305,40,-3,0
R136=7,268,306,3,-3,0
R137=7,293,307,25,-3,0
R138=7,318,309,12,-3,0
R139=7,348,312,21,-2,0
R140=7,378,316,4,-2,0
R141=8,0,316,4,-2,0
R142=8,30,319,32,-1,0
R143=8,60,322,13,-1,0
R144=8,85,323,42,1,0
R145=8,110,324,20,1,0
R146=8,130,324,11,1,0
R147=8,150,323,22,1,0
R148=8,165,322,22,1,0
R149=8,175,321,35,1,0
R150=8,185,320,33,1,0
R151=8,193,319,5,1,0
R152=8,203,318,22,1,0
R153=8,213,318,44,1,0
R154=8,228,317,11,1,0
R155=8,248,318,58,1,0
R156=8,268,319,22,1,0
R157=8,293,319,40,1,0
R158=8,318,321,58,1,0
R159=8,348,324,56,1,0
R160=8,378,328,44,1,0
R161=9,0,328,44,1,0
R162=9,30,332,17,2,0
R163=9,60,335,3,3,0
R164=9,85,336,36,3,0
R165=9,110,337,18,3,0
R166=9,130,337,10,3,0
R167=9,150,336,4,3,0
R168=9,165,335,25,3,0
R169=9,175,334,35,3,0
R170=9,185,333,43,3,0
R171=9,193,333,2,3,0
R172=9,203,332,21,3,0
R173=9,213,331,45,3,0
R174=9,228,331,8,3,0
R175=9,248,330,55,3,0
R176=9,268,331,22,3,0
R177=9,293,332,37,3,0
R178=9,318,334,41,4,0
R179=9,348,338,21,4,0
R180=9,378,341,55,4,0
R181=10,0,341,55,4,0
R182=10,30,345,37,4,0
R183=10,60,348,28,4,0
R184=10,85,350,8,6,0
R185=10,110,350,52,6,0
R186=10,130,350,49,6,0
R187=10,150,350,3,6,0
R188=10,165,349,4,6,0
R189=10,175,348,17,6,0
R190=10,185,347,25,6,0
R191=10,193,346,44,6,0
R192=10,203,346,0,6,0
R193=10,213,345,21,6,0
R194=10,228,344,44,6,0
R195=10,248,344,28,6,0
R196=10,268,344,52,6,0
R197=10,293,346,12,6,0
R198=10,318,348,16,6,0
R199=10,348,351,35,6,0
R200=10,378,355,19,6,0
R201=11,0,355,19,6,0
R202=11,30,359,26,6,0
R203=11,60,2,26,7,0
R204=11,85,4,3,7,0
R205=11,110,5,1,7,0
R206=11,120,5,0,7,0
R207=11,150,4,11,7,0
R208=11,165,3,20,8,0
R209=11,175,2,31,8,0
R210=11,185,1,41,8,0
R211=11,193,0,59,8,0
R212=11,203,0,12,8,0
R213=11,213,359,27,8,0
R214=11,228,358,53,8,0
R215=11,248,358,36,7,0
R216=11,268,358,59,7,0
R217=11,293,0,16,7,0
R218=11,318,2,21,7,0
R219=11,348,5,43,7,0
R220=11,378,9,43,7,0
R221=12,0,9,43,7,0
R222=12,30,13,36,7,0
R223=12,60,15,43,7,0
R224=12,85,18,30,8,0
R225=12,110,19,34,8,0
R226=12,130,19,29,9,0
R227=12,150,18,52,9,0
R228=12,165,17,56,9,0
R229=12,175,17,10,9,0
R230=12,185,16,18,9,0
R231=12,193,15,36,9,0
R232=12,203,14,52,9,0
R233=12,213,14,13,9,0
R234=12,228,13,26,9,0
R235=12,248,13,5,9,0
R236=12,263,13,21,9,0
R237=12,293,14,38,8,0
