R381=10,510,70,7,-10,0
R382=10,530,79,40,-9,0
R383=10,550,89,59,-8,0
R384=10,570,101,8,-7,0
R385=10,600,118,46,-7,0
R386=10,630,131,51,-7,0
R387=10,660,155,33,-6,0
R388=10,700,171,38,-3,0
R389=10,740,203,30,1,0
R390=10,780,239,16,5,0
R391=11,0,239,16,5,0
R392=11,40,270,9,8,0
R393=11,80,301,21,9,0
R394=11,120,332,12,3,0
R395=11,150,355,17,8,0
R396=11,180,17,44,5,0
R397=11,210,39,5,2,0
R398=11,230,52,25,-1,0
R399=11,250,64,59,-3,0
R400=11,270,76,36,-6,0
R401=11,285,84,41,-7,0
R402=11,300,91,56,-8,0
R403=11,315,98,14,-11,0
R404=11,330,103,17,-11,0
R405=11,340,106,42,-16,0
R406=11,350,107,23,-19,0
R407=11,360,107,39,-20,0
R408=11,370,106,48,-24,0
R409=11,380,104,52,-26,0
R410=11,390,101,59,-27,0
R411=11,400,98,34,-28,0
R412=11,410,94,59,-27,0
R413=11,420,92,14,-25,0
R414=11,430,89,46,-22,0
R415=11,440,89,22,-10,0
R416=11,450,90,1,-17,0
R417=11,465,92,56,-14,0
R418=11,480,97,43,-11,0
R419=11,495,103,55,-10,0
R420=11,510,110,59,-9,0
R421=11,530,121,17,-9,0
R422=11,550,132,14,-8,0
R423=11,570,143,45,-7,0
R424=11,600,161,58,-5,0
R425=11,630,181,22,-2,0
R426=11,660,202,4,1,0
R427=11,700,241,32,6,0
R428=11,740,262,31,6,0
R429=11,780,293,47,7,0
R430=12,0,293,47,7,0
R431=12,40,325,4,8,0
R432=12,80,356,13,7,0
R433=12,120,26,12,4,0
R434=12,150,47,20,-1,0
R435=12,180,67,8,-4,0
R436=12,210,85,38,-7,0
R437=12,230,97,17,-8,0
R438=12,250,108,18,-9,0
R439=12,270,118,35,-12,0
R440=12,285,125,357,-10,0
R441=12,300,131,50,-12,0
R442=12,315,136,54,-13,0
R443=12,330,140,7,-17,0
R444=12,340,140,55,-19,0
R445=12,350,140,35,-20,0
R446=12,360,148,50,-26,0
R447=12,370,135,55,-28,0
R448=12,380,132,31,-28,0
R449=12,390,128,58,-28,0
R450=12,400,125,56,-25,0
R451=12,410,123,50,-23,0
R452=12,420,132,52,-21,0
R453=12,430,123,1,-17,0
R454=12,440,124,22,-16,0
R455=12,450,126,38,-16,0
R456=12,465,131,30,-12,0
R457=12,480,137,40,-10,0
R458=12,495,154,44,-9,0
R459=12,510,152,38,-7,0
R460=12,530,163,59,-5,0
R461=12,550,156,13,-2,0
R462=12,570,189,16,1,0
R463=12,600,210,10,4,0
R464=12,630,232,20,7,0
R465=12,660,255,12,8,0
R466=12,700,286,18,7,0
R467=12,740,317,22,8,0
R468=12,780,348,35,6,0
R469=13,0,348,35,6,0
R470=13,40,18,48,3,0
R471=13,80,47,10,-4,0
R472=13,120,73,42,-5,0
R473=13,150,92,30,-7,0
R474=13,180,110,34,-8,0
R475=13,210,128,14,-7,0
R476=13,230,139,31,-8,0
R477=13,250,150,4,-9,0
R478=13,270,159,30,-10,0
R479=13,285,165,40,-12,0
R480=13,300,170,27,-14,0
R481=13,315,173,35,-16,0
R482=13,330,174,16,-17,0
R483=13,340,173,3,-19,0
R484=13,350,170,42,-21,0
R485=13,360,167,11,-22,0
R486=13,370,163,16,-22,0
R487=13,380,159,57,-21,0
R488=13,390,157,26,-21,0
R489=13,400,156,16,-17,0
R490=13,410,156,27,-13,0
R491=13,420,157,28,-12,0
R492=13,430,159,43,-13,0
R493=13,440,162,51,-7,0
R494=13,450,166,42,-4,0
R495=13,465,173,39,-2,0
R496=13,480,181,33,1,0
R497=13,495,190,29,3,0
R498=13,510,200,2,5,0
R499=13,530,213,30,7,0
R500=13,550,227,45,8,0
R501=13,570,242,41,9,0
R502=13,600,264,56,9,0
R503=13,630,287,36,8,0
R504=13,660,310,28,8,0
R505=13,700,341,13,7,0
R506=13,740,11,8,3,0
R507=13,780,39,31,-1,0
R508=14,0,39,31,-1,0
R509=14,40,66,31,-5,0
R510=14,80,91,58,-7,0
R511=14,120,117,8,-7,0
R512=14,150,135,40,-7,0
R513=14,180,153,33,-8,0
R514=14,210,170,39,-8,0
R515=14,230,181,26,-6,0
R516=14,250,191,41,-6,0
R517=14,270,200,54,-4,0
R518=14,285,206,53,-4,0
R519=14,300,211,42,-3,0
R520=14,315,214,50,1,0
R521=14,330,215,43,5,0
R522=14,340,214,47,6,0
R523=14,350,212,31,10,0
R524=14,360,209,23,11,0
R525=14,370,205,56,11,0
